post_id,count,dw_page_sk,dw_eff_dt,page_path_tx,conf_page_path_tx,page_hier_lvl1_nm,parent_page_sk,http_return_cd,nldt_type_cd,page_vertical_tx,dw_last_updt_ts,dw_load_ts
"100848","1","195308","2015-02-26","blog/cities/best-places-invest-real-estate-washington","blog/cities/best-places-invest-real-estate-washington","Mortgages","195308","301","N","Mortgages","2016-07-18 04:17:23","2015-03-07 03:51:35"
"86397","3","996425","2015-06-29","search/undefined/blog/tips/bank-of-america-preferred-rewards-credit-card-extra","search/undefined/blog/tips/bank-of-america-preferred-rewards-credit-card-extra","Credit Cards","996425","404","D","Credit Cards","2016-07-18 04:17:23","2016-06-22 22:04:03"
"97302","10","351299","2015-08-20","blog/secured-credit-cards/income-job-qualify-credit-card","blog/secured-credit-cards/income-job-qualify-credit-card","Credit Cards","351299","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-21 08:18:06"
"143786","1","337312","2015-05-06","blog/investing/2015/charles-schwab-intelligent-portfolios-review","blog/investing/2015/charles-schwab-intelligent-portfolios-review","Investing","337312","301","D","Investing","2016-07-18 04:17:23","2015-05-06 11:15:26"
"90100","7","827149","2015-05-26","blog/category/tips/credit-score/credit-card-authorized-users-build-credit","blog/category/tips/credit-score/credit-card-authorized-users-build-credit","Credit Cards","827149","404","D","Credit Cards","2016-07-18 04:17:23","2016-06-22 22:04:03"
"179510","1","340379","2015-06-05","blog/health/2015/06/05/vyvanse-cost-saving-strategies","blog/health/2015/06/05/vyvanse-cost-saving-strategies","Health","340379","301","L","Health","2016-07-18 04:17:23","2015-06-06 09:16:22"
"98020","3","593254","2015-06-07","search/undefined/blog/tips/foreign-transaction-vs-currency-conversion-fees-difference","search/undefined/blog/tips/foreign-transaction-vs-currency-conversion-fees-difference","Credit Cards","593254","404","L","Credit Cards","2016-07-18 04:17:23","2016-06-01 01:22:19"
"90100","7","820648","2015-06-16","blog.tips/credit%20score/credit-card-authorized-users-build-credit","blog.tips/credit%20score/credit-card-authorized-users-build-credit","Credit Cards","820648","404","D","Credit Cards","2016-07-18 04:17:23","2016-06-22 22:04:03"
"109272","2","344023","2015-07-14","blog/grad/what-to-say-negotiating-first-job","blog/grad/what-to-say-negotiating-first-job","Loans","344023","301","L","Loans","2016-07-18 04:17:23","2015-07-15 08:16:49"
"103366","14","333415","2015-03-12","blog/checking/blacklisted-chexsystems-heres","blog/checking/blacklisted-chexsystems-heres","Banking","333415","404","L","Banking","2016-07-18 04:17:23","2015-03-13 11:11:58"
"109272","2","335454","2015-04-09","blog/recent-grad/what-to-say-negotiating-first-job","blog/recent-grad/what-to-say-negotiating-first-job","Loans","335454","301","L","Loans","2016-07-18 04:17:23","2015-04-10 11:10:21"
"111488","3","336792","2015-04-27","blog/banking-blog/test-your-knowledge-of-personal-finance","blog/banking-blog/test-your-knowledge-of-personal-finance","Banking","336792","301","L","Banking","2016-07-18 04:17:23","2015-04-29 11:12:48"
"110189","4","844082","2015-05-19","blogcities/best-places-young-families-new-york-2015","blogcities/best-places-young-families-new-york-2015","Mortgages","844082","404","N","Mortgages","2016-07-18 04:17:23","2016-06-22 22:04:03"
"179560","1","343968","2015-07-14","blog/health/2015/07/14/symbicort-side-effects","blog/health/2015/07/14/symbicort-side-effects","Health","343968","301","L","Health","2016-07-18 04:17:23","2015-07-15 08:16:49"
"99218","5","349403","2015-08-15","blog/credit-card-debt-2/maxed-out-credit-card","blog/credit-card-debt-2/maxed-out-credit-card","Credit Cards","349403","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-16 08:11:52"
"136876","1","350704","2015-08-19","blog/shop/fitbit-vs-apple-watch-smartwatch-comparison","blog/shop/fitbit-vs-apple-watch-smartwatch-comparison","Shopping","350704","301","D","Shopping","2016-07-18 04:17:23","2015-08-20 08:18:08"
"56993","9","995729","2015-08-29","search/undefined/blog/cities/economics/towns-massachusett-raising-kids","search/undefined/blog/cities/economics/towns-massachusett-raising-kids","Mortgages","995729","404","N","Mortgages","2016-07-18 04:17:23","2016-06-22 22:04:03"
"179474","3","337608","2015-05-07","blog/health/2015/05/06/how-much-does-liposuction-cost","blog/health/2015/05/06/how-much-does-liposuction-cost","Other","337608","404","L","Other","2016-07-18 04:17:23","2015-05-08 11:38:53"
"179474","3","337558","2015-05-07","blog/health/2015/05/07/how-much-does-liposuction-cost","blog/health/2015/05/07/how-much-does-liposuction-cost","Other","337558","404","L","Other","2016-07-18 04:17:23","2015-05-08 11:38:53"
"179482","1","337864","2015-05-13","blog/health/2015/05/13/symbicort-coupon","blog/health/2015/05/13/symbicort-coupon","Health","337864","301","L","Health","2016-07-18 04:17:23","2015-05-14 11:15:31"
"143770","1","362585","2015-09-03","blog/investing/brokerage-review/tips-trading-stocks-online","blog/investing/brokerage-review/tips-trading-stocks-online","Investing","362585","301","L","Investing","2016-07-18 04:17:23","2015-09-04 17:39:08"
"88766","1","995712","2015-09-06","search/undefined/blog/cities/economics/best-cities-young-families-washington","search/undefined/blog/cities/economics/best-cities-young-families-washington","Mortgages","995712","404","N","Mortgages","2016-07-18 04:17:23","2016-06-22 22:04:03"
"117495","1","349654","2015-08-13","blog/credit-cards/credit-card-basics/credit-mortgage-approval","blog/credit-cards/credit-card-basics/credit-mortgage-approval","Credit Cards","349654","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-17 08:12:22"
"59427","2","349065","2015-08-13","blog/cities/economics/best-cities-maryland-young-families","blog/cities/economics/best-cities-maryland-young-families","Other","349065","301","N","Other","2016-07-18 04:17:23","2015-08-14 12:57:58"
"95943","3","350190","2015-08-14","blog/credit-card-offers/best-credit-card-offers-for-retirees","blog/credit-card-offers/best-credit-card-offers-for-retirees","Credit Cards","350190","301","D","Credit Cards","2016-07-18 04:17:23","2015-08-18 08:12:58"
